Country,Total Fertility,Child Mortality,Health,Life Expectancy,Export,Import,Income,Inflation,GDPP
Afghanistan,5.82,90.2,7.58,56.2,10,44.9,1610,9.44,553
Albania,1.65,16.6,6.55,76.3,28,48.6,9930,4.49,4090
Algeria,2.89,27.3,4.17,76.5,38.4,31.4,12900,16.1,4460
Angola,6.16,119,2.85,60.1,62.3,42.9,5900,22.4,3530
Antigua and Barbuda,2.13,10.3,6.03,76.8,45.5,58.9,19100,1.44,12200
Argentina,2.37,14.5,8.1,75.8,18.9,16,18700,20.9,10300
Armenia,1.69,18.1,4.4,73.3,20.8,45.3,6700,7.77,3220
Australia,1.93,4.8,8.73,82,19.8,20.9,41400,1.16,51900
Austria,1.44,4.3,11,80.5,51.3,47.8,43200,0.873,46900
Azerbaijan,1.92,39.2,5.88,69.1,54.3,20.7,16000,13.8,5840
Bahamas,1.86,13.8,7.89,73.8,35,43.7,22900,-0.393,28000
Bahrain,2.16,8.6,4.97,76,69.5,50.9,41100,7.44,20700
Bangladesh,2.33,49.4,3.52,70.4,16,21.8,2440,7.14,758
Barbados,1.78,14.2,7.97,76.7,39.5,48.7,15300,0.321,16000
Belarus,1.49,5.5,5.61,70.4,51.4,64.5,16200,15.1,6030
Belgium,1.86,4.5,10.7,80,76.4,74.7,41100,1.88,44400
Belize,2.71,18.8,5.2,71.4,58.2,57.5,7880,1.14,4340
Benin,5.36,111,4.1,61.8,23.8,37.2,1820,0.885,758
Bhutan,2.38,42.7,5.2,72.1,42.5,70.7,6420,5.99,2180
Bolivia,3.2,46.6,4.84,71.6,41.2,34.3,5410,8.78,1980
Bosnia and Herzegovina,1.31,6.9,11.1,76.8,29.7,51.3,9720,1.4,4610
Botswana,2.88,52.5,8.3,57.1,43.6,51.3,13300,8.92,6350
Brazil,1.8,19.8,9.01,74.2,10.7,11.8,14500,8.41,11200
Brunei,1.84,10.5,2.84,77.1,67.4,28,80600,16.7,35300
Bulgaria,1.57,10.8,6.87,73.9,50.2,53,15300,1.11,6840
Burkina Faso,5.87,116,6.74,57.9,19.2,29.6,1430,6.81,575
Burundi,6.26,93.6,11.6,57.7,8.92,39.2,764,12.3,231
Cambodia,2.88,44.4,5.68,66.1,54.1,59.5,2520,3.12,786
Cameroon,5.11,108,5.13,57.3,22.2,27,2660,1.91,1310
Canada,1.63,5.6,11.3,81.3,29.1,31,40700,2.87,47400
Cape Verde,2.67,26.5,4.09,72.5,32.7,61.8,5830,0.505,3310
Central African Republic,5.21,149,3.98,47.5,11.8,26.5,888,2.01,446
Chad,6.59,150,4.53,56.5,36.8,43.5,1930,6.39,897
Chile,1.88,8.7,7.96,79.1,37.7,31.3,19400,8.96,12900
China,1.59,15.7,5.07,74.6,26.3,22.6,9530,6.94,4560
Colombia,2.01,18.6,7.59,76.4,15.9,17.8,10900,3.86,6250
Comoros,4.75,88.2,4.51,65.9,16.5,51.7,1410,3.87,769
"Congo, Dem. Rep.",6.54,116,7.91,57.5,41.1,49.6,609,20.8,334
"Congo, Rep.",4.95,63.9,2.46,60.4,85.1,54.7,5190,20.7,2740
Costa Rica,1.92,10.2,10.9,80.4,33.2,35,13000,6.57,8200
Cote d'Ivoire,5.27,111,5.3,56.3,50.6,43.3,2690,5.39,1220
Croatia,1.55,5.5,7.76,76.3,37.6,38.1,20100,0.821,13500
Cyprus,1.42,3.6,5.97,79.9,50.2,57.5,33900,2.01,30800
Czech Republic,1.51,3.4,7.88,77.5,66,62.9,28300,-1.43,19800
Denmark,1.87,4.1,11.4,79.5,50.5,43.6,44000,3.22,58000
Dominican Republic,2.6,34.4,6.22,74.6,22.7,33.3,11100,5.44,5450
Ecuador,2.66,25.1,8.06,76.7,27.9,32.4,9350,7.47,4660
Egypt,3.19,29.1,4.66,70.5,21.3,26.6,9860,10.1,2600
El Salvador,2.27,19.2,6.91,74.1,26.9,46.6,7300,2.65,2990
Equatorial Guinea,5.21,111,4.48,60.9,85.8,58.9,33700,24.9,17100
Eritrea,4.61,55.2,2.66,61.7,4.79,23.3,1420,11.6,482
Estonia,1.72,4.5,6.03,76,75.1,68.7,22700,1.74,14600
Fiji,2.67,24.1,4.86,65.3,57.8,63.9,7350,4.23,3650
Finland,1.87,3,8.95,80,38.7,37.4,39800,0.351,46200
France,2.03,4.2,11.9,81.4,26.8,28.1,36900,1.05,40600
Gabon,4.08,63.7,3.5,62.9,57.7,18.9,15400,16.6,8750
Gambia,5.71,80.3,5.69,65.5,23.8,42.7,1660,4.3,562
Georgia,1.92,16.5,10.1,72.8,35,52.8,6730,8.55,2960
Germany,1.39,4.2,11.6,80.1,42.3,37.1,40400,0.758,41800
Ghana,4.27,74.7,5.22,62.2,29.5,45.9,3060,16.6,1310
Greece,1.48,3.9,10.3,80.4,22.1,30.7,28700,0.673,26900
Grenada,2.24,14.6,5.86,71.3,23.8,49.2,11200,0.48,7370
Guatemala,3.38,35.4,6.85,71.3,25.8,36.3,6710,5.14,2830
Guinea,5.34,109,4.93,58,30.3,43.2,1190,16.1,648
Guinea-Bissau,5.05,114,8.5,55.6,14.9,35.2,1390,2.97,547
Guyana,2.65,37.6,5.38,65.5,51.4,79.1,5840,5.73,3040
Haiti,3.33,208,6.91,32.1,15.3,64.7,1500,5.45,662
Hungary,1.25,6,7.33,74.5,81.8,76.5,22300,2.33,13100
Iceland,2.2,2.6,9.4,82,53.4,43.3,38800,5.47,41900
India,2.6,58.8,4.05,66.2,22.6,27.1,4410,8.98,1350
Indonesia,2.48,33.3,2.61,69.9,24.3,22.4,8430,15.3,3110
Iran,1.76,19.3,5.6,74.5,24.4,19.4,17400,15.9,6530
Iraq,4.56,36.9,8.41,67.2,39.4,34.1,12700,16.6,4500
Ireland,2.05,4.2,9.19,80.4,103,86.5,45700,-3.22,48700
Israel,3.03,4.6,7.63,81.4,35,32.9,29600,1.77,30600
Italy,1.46,4,9.53,81.7,25.2,27.2,36200,0.319,35800
Jamaica,2.17,18.1,4.81,74.7,31.3,49.6,8000,9.81,4680
Japan,1.39,3.2,9.49,82.8,15,13.6,35800,-1.9,44500
Jordan,3.66,21.1,8.04,75.8,48.3,69,9470,8.43,3680
Kazakhstan,2.6,21.5,4.29,68.4,44.2,29.9,20100,19.5,9070
Kenya,4.37,62.2,4.75,62.8,20.7,33.6,2480,2.09,967
Kiribati,3.84,62.7,11.3,60.7,13.3,79.9,1730,1.52,1490
Kuwait,2.21,10.8,2.63,78.2,66.7,30.4,75200,11.2,38500
Kyrgyz Republic,3.1,29.6,6.18,68.5,51.6,81.7,2790,10,880
Lao,3.15,78.9,4.47,63.8,35.4,49.3,3980,9.2,1140
Latvia,1.36,7.8,6.68,73.1,53.7,55.1,18300,-0.812,11300
Lebanon,1.61,10.3,7.03,79.8,35.8,60.2,16300,0.238,8860
Lesotho,3.3,99.7,11.1,46.5,39.4,101,2380,4.15,1170
Liberia,5.02,89.3,11.8,60.8,19.1,92.6,700,5.47,327
Libya,2.41,16.6,3.88,76.1,65.6,42.1,29600,14.2,12100
Lithuania,1.5,6.1,7.04,73.2,65.3,67.2,21100,2.38,12000
Luxembourg,1.63,2.8,7.77,81.3,175,142,91700,3.62,105000
"Macedonia, FYR",1.47,10.4,7.09,74,39.8,58.1,11400,2.04,4540
Madagascar,4.6,62.2,3.77,60.8,25,43,1390,8.79,413
Malawi,5.31,90.5,6.59,53.1,22.8,34.9,1030,12.1,459
Malaysia,2.15,7.9,4.39,74.5,86.9,71,21100,7.27,9070
Maldives,2.23,13.2,6.33,77.9,77.6,65.4,10500,2.88,7100
Mali,6.55,137,4.98,59.5,22.8,35.1,1870,4.37,708
Malta,1.36,6.8,8.65,80.3,153,154,28300,3.83,21100
Mauritania,4.98,97.4,4.41,68.2,50.7,61.2,3320,18.9,1200
Mauritius,1.57,15,6,73.4,51.2,62.2,15900,1.13,8000
"Micronesia, Fed. Sts.",3.46,40,14.2,65.4,23.5,81,3340,3.8,2860
Moldova,1.27,17.2,11.7,69.7,39.2,78.5,3910,11.1,1630
Mongolia,2.64,26.1,5.44,66.2,46.7,56.7,7710,39.2,2650
Montenegro,1.77,6.8,9.11,76.4,37,62.7,14000,1.6,6680
Morocco,2.58,33.5,5.2,73.5,32.2,43,6440,0.976,2830
Mozambique,5.56,101,5.21,54.5,31.5,46.2,918,7.64,419
Myanmar,2.41,64.4,1.97,66.8,0.109,0.0659,3720,7.04,988
Namibia,3.6,56,6.78,58.6,47.8,60.7,8460,3.56,5190
Nepal,2.61,47,5.25,68.3,9.58,36.4,1990,15.1,592
Netherlands,1.79,4.5,11.9,80.7,72,63.6,45500,0.848,50300
New Zealand,2.17,6.2,10.1,80.9,30.3,28,32300,3.73,33700
Niger,7.49,123,5.16,58.8,22.2,49.1,814,2.55,348
Nigeria,5.84,130,5.07,60.5,25.3,17.4,5150,104,2330
Norway,1.95,3.2,9.48,81,39.7,28.5,62300,5.95,87800
Oman,2.9,11.7,2.77,76.1,65.7,41.2,45300,15.6,19300
Pakistan,3.85,92.1,2.2,65.3,13.5,19.4,4280,10.9,1040
Panama,2.62,19.7,8.1,77.8,70,78.2,15400,2.59,8080
Paraguay,2.73,24.1,5.87,74.1,55.1,51.5,7290,6.1,3230
Peru,2.54,20.3,5.08,77.9,27.8,23.8,9960,5.71,5020
Philippines,3.16,31.9,3.61,69,34.8,36.6,5600,4.22,2130
Poland,1.41,6,7.46,76.3,40.1,42.1,21800,1.66,12600
Portugal,1.39,3.9,11,79.8,29.9,37.4,27200,0.643,22500
Qatar,2.07,9,1.81,79.5,62.3,23.8,125000,6.98,70300
Romania,1.59,11.5,5.58,73.7,32.6,38.8,17800,3.53,8230
Russia,1.57,10,5.08,69.2,29.2,21.1,23100,14.2,10700
Rwanda,4.51,63.6,10.5,64.6,12,30,1350,2.61,563
Samoa,4.34,18.9,6.47,71.5,29.2,53.1,5400,1.72,3450
Saudi Arabia,2.96,15.7,4.29,75.1,49.6,33,45400,17.2,19300
Senegal,5.06,66.8,5.66,64,24.9,40.3,2180,1.85,1000
Serbia,1.4,7.6,10.4,74.7,32.9,47.9,12700,5.88,5410
Seychelles,2.17,14.4,3.4,73.4,93.8,108,20400,-4.21,10800
Sierra Leone,5.2,160,13.1,55,16.8,34.5,1220,17.2,399
Singapore,1.15,2.8,3.96,82.7,200,174,72100,-0.046,46600
Slovak Republic,1.43,7,8.79,75.5,76.3,77.8,25200,0.485,16600
Slovenia,1.57,3.2,9.41,79.5,64.3,62.9,28700,-0.987,23400
Solomon Islands,4.24,28.1,8.55,61.7,49.3,81.2,1780,6.81,1290
South Africa,2.59,53.7,8.94,54.3,28.6,27.4,12000,6.35,7280
South Korea,1.23,4.1,6.93,80.1,49.4,46.2,30400,3.16,22100
Spain,1.37,3.8,9.54,81.9,25.5,26.8,32500,0.16,30700
Sri Lanka,2.2,11.2,2.94,74.4,19.6,26.8,8560,22.8,2810
St. Vincent and the Grenadines,2.07,20.7,4.47,71.6,26.9,57.1,9920,4.44,6230
Sudan,4.88,76.7,6.32,66.3,19.7,17.2,3370,19.6,1480
Suriname,2.52,24.1,7.01,70.3,52.5,38.4,14200,7.2,8300
Sweden,1.98,3,9.63,81.5,46.2,40.7,42900,0.991,52100
Switzerland,1.52,4.5,11.5,82.2,64,53.3,55500,0.317,74600
Tajikistan,3.51,52.4,5.98,69.6,14.9,58.6,2110,12.5,738
Tanzania,5.43,71.9,6.01,59.3,18.7,29.1,2090,9.25,702
Thailand,1.55,14.9,3.88,76.6,66.5,60.8,13500,4.08,5080
Timor-Leste,6.23,62.6,9.12,71.1,2.2,27.8,1850,26.5,3600
Togo,4.87,90.3,7.65,58.7,40.2,57.3,1210,1.18,488
Tonga,3.91,17.4,5.07,69.9,12.4,60.3,4980,3.68,3550
Tunisia,2.14,17.4,6.21,76.9,50.5,55.3,10400,3.82,4140
Turkey,2.15,19.1,6.74,78.2,20.4,25.5,18000,7.01,10700
Turkmenistan,2.83,62,2.5,67.9,76.3,44.5,9940,2.31,4440
Uganda,6.15,81,9.01,56.8,17.1,28.6,1540,10.6,595
Ukraine,1.44,11.7,7.72,70.4,47.1,51.1,7820,13.4,2970
United Arab Emirates,1.87,8.6,3.66,76.5,77.7,63.6,57600,12.5,35000
United Kingdom,1.92,5.2,9.64,80.3,28.2,30.8,36200,1.57,38900
United States,1.93,7.3,17.9,78.7,12.4,15.8,49400,1.22,48400
Uruguay,2.08,10.6,8.35,76.4,26.3,25.4,17100,4.91,11900
Uzbekistan,2.34,36.3,5.81,68.8,31.7,28.5,4240,16.5,1380
Vanuatu,3.5,29.2,5.25,63,46.6,52.7,2950,2.62,2970
Venezuela,2.47,17.1,4.91,75.4,28.5,17.6,16500,45.9,13500
Vietnam,1.95,23.3,6.84,73.1,72,80.2,4490,12.1,1310
Yemen,4.67,56.3,5.18,67.5,30,34.4,4480,23.6,1310
Zambia,5.4,83.1,5.89,52,37,30.9,3280,14,1460
